date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:04:19	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2028%20Jan%202019%2014:04:16%20GMT	https://www.mauritiusjobs.mu/robots.txt		(from )
18:04:19	44593/44593	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Jan%202019%2014:04:16%20GMT	https://www.mauritiusjobs.mu/	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/index.php	(from )
18:04:20	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2247e-543d57b903ec4%22	https://www.mauritiusjobs.mu/images/mauritius.ico	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/images/mauritius.ico	(from https://www.mauritiusjobs.mu/)
18:04:20	986/986	---M-Z	200	added ('OK')	text/css	etag:%223da-543d532fc0e61-gzip%22	https://www.mauritiusjobs.mu/css/reset.css	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/reset.css	(from https://www.mauritiusjobs.mu/)
18:04:21	73106/73106	---M-Z	200	added ('OK')	text/css	etag:%2211d92-543d5331bac20-gzip%22	https://www.mauritiusjobs.mu/css/page.css?1548684256	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/page1d75.css	(from https://www.mauritiusjobs.mu/)
18:04:21	3537/3537	---M-Z	200	added ('OK')	text/css	etag:%22dd1-543d532f42ec2-gzip%22	https://www.mauritiusjobs.mu/css/menu.css?1548684256	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/menu1d75.css	(from https://www.mauritiusjobs.mu/)
18:04:23	268381/268381	---M-Z	200	added ('OK')	application/javascript	etag:W/%2254499a47-4185d%22	https://code.jquery.com/jquery-1.9.1.js	E:/Downloaded%20websites/MAURITIUSJOB/code.jquery.com/jquery-1.9.1.js	(from https://www.mauritiusjobs.mu/)
18:04:24	435844/435844	---M-Z	200	added ('OK')	application/javascript	etag:W/%2254499a48-6a684%22	https://code.jquery.com/ui/1.10.3/jquery-ui.js	E:/Downloaded%20websites/MAURITIUSJOB/code.jquery.com/ui/1.10.3/jquery-ui.js	(from https://www.mauritiusjobs.mu/)
18:04:24	8443/8443	---M-Z	200	added ('OK')	application/javascript	etag:%2220fb-543d9fc0aeab4-gzip%22	https://www.mauritiusjobs.mu/js/menu.js	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/js/menu.js	(from https://www.mauritiusjobs.mu/)
18:04:24	44130/44130	---MC-	200	added ('OK')	text/javascript	date:Wed,%2016%20Jan%202019%2020:01:45%20GMT	http://www.google-analytics.com/analytics.js	E:/Downloaded%20websites/MAURITIUSJOB/www.google-analytics.com/analytics.js	(from https://www.mauritiusjobs.mu/)
18:04:26	15691/15691	---M--	200	added ('OK')	image/png	etag:%223d4b-543d578dd9260%22	https://www.mauritiusjobs.mu/images/govt.png	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/images/govt.png	(from https://www.mauritiusjobs.mu/)
18:04:26	129968/129968	---M--	200	added ('OK')	image/gif	etag:%221fbb0-543d578f1493e%22	https://www.mauritiusjobs.mu/images/mauritius_flag.gif	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/images/mauritius_flag.gif	(from https://www.mauritiusjobs.mu/)
18:04:28	27102/27102	---M--	200	added ('OK')	image/png	etag:%2269de-543d57a6fcb0f%22	https://www.mauritiusjobs.mu/images/jobs_logo.png	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/images/jobs_logo.png	(from https://www.mauritiusjobs.mu/)
18:04:28	9520/9520	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Jan%202019%2014:04:25%20GMT	http://www.mauritiusjobs.mu/about/mlire	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/about/mlire.html	(from https://www.mauritiusjobs.mu/)
18:04:29	8515/8515	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Jan%202019%2014:04:26%20GMT	http://www.mauritiusjobs.mu/about/iom	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/about/iom.html	(from https://www.mauritiusjobs.mu/)
18:04:29	7375/7375	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Jan%202019%2014:04:26%20GMT	http://www.mauritiusjobs.mu/jobseeker	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/jobseeker.html	(from https://www.mauritiusjobs.mu/)
